onset	duration	trial_type	response_time	sample	value
0.0017058195	1.0000000000	STATUS	n/a	0.8529097395	start_experiment
1.4732820382	1.0000000000	STATUS	n/a	736.6410191026	Play
1.6265645842	1.0000000000	STATUS	n/a	813.2822921023	start_initiation
6.2985645842	1.0000000000	STATUS	n/a	3149.2822921023	LeftStep
7.1105645842	1.0000000000	STATUS	n/a	3555.2822921023	RightStep
7.8985645842	1.0000000000	STATUS	n/a	3949.2822921023	LeftStep
8.6025645842	1.0000000000	STATUS	n/a	4301.2822921023	RightStep
10.6140000000	1.0000000000	STATUS	n/a	5307.0000000000	standingStill
11.1453708012	1.0000000000	STATUS	n/a	5572.6854006092	Play
11.1622299172	1.0000000000	STATUS	n/a	5581.1149586231	initiation
17.3687945015	1.0000000000	STATUS	n/a	8684.3972507254	initiationHeadLeft
17.8547945015	1.0000000000	STATUS	n/a	8927.3972507254	initiationLeft
19.1265645842	1.0000000000	STATUS	n/a	9563.2822921023	RightStep
19.9545645842	1.0000000000	STATUS	n/a	9977.2822921023	LeftStep
23.8460000000	1.0000000000	STATUS	n/a	11923.0000000000	standingStill
24.7540433649	1.0000000000	STATUS	n/a	12377.0216824583	Play
24.7709121721	1.0000000000	STATUS	n/a	12385.4560860280	initiation
32.2034767563	1.0000000000	STATUS	n/a	16101.7383781303	initiationRight
32.3394767563	1.0000000000	STATUS	n/a	16169.7383781303	initiationHeadRight
33.5305645842	1.0000000000	STATUS	n/a	16765.2822921023	LeftStep
34.3445645842	1.0000000000	STATUS	n/a	17172.2822921023	RightStep
35.1245645842	1.0000000000	STATUS	n/a	17562.2822921023	LeftStep
38.0080000000	1.0000000000	STATUS	n/a	19004.0000000000	standingStill
39.2123050409	1.0000000000	STATUS	n/a	19606.1525204684	Play
39.2294439332	1.0000000000	STATUS	n/a	19614.7219665835	initiation
49.8900085174	1.0000000000	STATUS	n/a	24945.0042586858	initiationHeadLeft
50.3120085174	1.0000000000	STATUS	n/a	25156.0042586858	initiationLeft
50.6885645842	1.0000000000	STATUS	n/a	25344.2822921023	LeftStep
51.5285645842	1.0000000000	STATUS	n/a	25764.2822921023	RightStep
52.3405645842	1.0000000000	STATUS	n/a	26170.2822921023	LeftStep
53.1405645842	1.0000000000	STATUS	n/a	26570.2822921023	RightStep
56.0880000000	1.0000000000	STATUS	n/a	28044.0000000000	standingStill
56.8679568483	1.0000000000	STATUS	n/a	28433.9784241429	Play
56.8851020896	1.0000000000	STATUS	n/a	28442.5510447951	initiation
66.4356666738	1.0000000000	STATUS	n/a	33217.8333368974	initiationHeadLeft
66.8216666738	1.0000000000	STATUS	n/a	33410.8333368974	initiationLeft
67.2025645842	1.0000000000	STATUS	n/a	33601.2822921023	LeftStep
68.0505645842	1.0000000000	STATUS	n/a	34025.2822921023	RightStep
68.8625645842	1.0000000000	STATUS	n/a	34431.2822921023	LeftStep
69.6665645842	1.0000000000	STATUS	n/a	34833.2822921023	RightStep
72.4200000000	1.0000000000	STATUS	n/a	36210.0000000000	standingStill
74.0371518740	1.0000000000	STATUS	n/a	37018.5759369892	Play
74.0542394796	1.0000000000	STATUS	n/a	37027.1197398108	initiation
76.4268040638	1.0000000000	STATUS	n/a	38213.4020319131	initiationHeadRight
76.7988040638	1.0000000000	STATUS	n/a	38399.4020319131	initiationRight
78.0705645842	1.0000000000	STATUS	n/a	39035.2822921023	LeftStep
78.8645645842	1.0000000000	STATUS	n/a	39432.2822921023	RightStep
82.3520000000	1.0000000000	STATUS	n/a	41176.0000000000	standingStill
82.9327732799	1.0000000000	STATUS	n/a	41466.3866399374	Play
82.9497614744	1.0000000000	STATUS	n/a	41474.8807371899	initiation
90.0243260586	1.0000000000	STATUS	n/a	45012.1630292922	initiationHeadRight
90.3043260586	1.0000000000	STATUS	n/a	45152.1630292922	initiationRight
91.5785645842	1.0000000000	STATUS	n/a	45789.2822921023	LeftStep
92.3465645842	1.0000000000	STATUS	n/a	46173.2822921023	RightStep
93.1265645842	1.0000000000	STATUS	n/a	46563.2822921023	LeftStep
95.8860000000	1.0000000000	STATUS	n/a	47943.0000000000	standingStill
96.5213103700	1.0000000000	STATUS	n/a	48260.6551850163	Play
96.5384040407	1.0000000000	STATUS	n/a	48269.2020203727	initiation
105.5669686249	1.0000000000	STATUS	n/a	52783.4843124750	initiationHeadLeft
105.8749686249	1.0000000000	STATUS	n/a	52937.4843124750	initiationLeft
107.0585645842	1.0000000000	STATUS	n/a	53529.2822921023	RightStep
