onset	duration	trial_type	response_time	sample	value
0.0023335450	1.0000000000	STATUS	n/a	1.1667724950	start_experiment
2.7646742909	1.0000000000	STATUS	n/a	1382.3371454267	Play
2.9643574365	1.0000000000	STATUS	n/a	1482.1787182380	start_initiation
8.6623574365	1.0000000000	STATUS	n/a	4331.1787182380	RightStep
9.3083574365	1.0000000000	STATUS	n/a	4654.1787182380	LeftStep
9.8963574365	1.0000000000	STATUS	n/a	4948.1787182380	RightStep
10.9783574365	1.0000000000	STATUS	n/a	5489.1787182380	RightStep
11.3183574365	1.0000000000	STATUS	n/a	5659.1787182380	LeftStep
12.1900000000	1.0000000000	STATUS	n/a	6095.0000000000	standingStill
12.5803790827	1.0000000000	STATUS	n/a	6290.1895413712	Play
12.5973996838	1.0000000000	STATUS	n/a	6298.6998418927	initiation
17.3677571203	1.0000000000	STATUS	n/a	8683.8785601307	initiationHeadLeft
17.7717571203	1.0000000000	STATUS	n/a	8885.8785601307	initiationLeft
18.1843574365	1.0000000000	STATUS	n/a	9092.1787182380	LeftStep
18.8483574365	1.0000000000	STATUS	n/a	9424.1787182380	RightStep
19.4603574365	1.0000000000	STATUS	n/a	9730.1787182380	LeftStep
20.0203574365	1.0000000000	STATUS	n/a	10010.1787182380	RightStep
21.0643574365	1.0000000000	STATUS	n/a	10532.1787182380	RightStep
21.4063574365	1.0000000000	STATUS	n/a	10703.1787182380	LeftStep
22.3900000000	1.0000000000	STATUS	n/a	11195.0000000000	standingStill
22.9454344956	1.0000000000	STATUS	n/a	11472.7172478007	Play
22.9624185533	1.0000000000	STATUS	n/a	11481.2092766460	initiation
30.1327759898	1.0000000000	STATUS	n/a	15066.3879948839	initiationHeadLeft
30.5447759898	1.0000000000	STATUS	n/a	15272.3879948839	initiationLeft
30.9523574365	1.0000000000	STATUS	n/a	15476.1787182380	LeftStep
31.6063574365	1.0000000000	STATUS	n/a	15803.1787182380	RightStep
32.2163574365	1.0000000000	STATUS	n/a	16108.1787182380	LeftStep
32.7863574365	1.0000000000	STATUS	n/a	16393.1787182380	RightStep
33.3163574365	1.0000000000	STATUS	n/a	16658.1787182380	LeftStep
34.6363574365	1.0000000000	STATUS	n/a	17318.1787182380	LeftStep
35.5360000000	1.0000000000	STATUS	n/a	17768.0000000000	standingStill
36.0804679994	1.0000000000	STATUS	n/a	18040.2339997196	Play
36.0974797004	1.0000000000	STATUS	n/a	18048.7398501937	initiation
37.8518371369	1.0000000000	STATUS	n/a	18925.9185684317	initiationHeadLeft
38.2438371369	1.0000000000	STATUS	n/a	19121.9185684317	initiationLeft
39.3103574365	1.0000000000	STATUS	n/a	19655.1787182380	RightStep
39.9123574365	1.0000000000	STATUS	n/a	19956.1787182380	LeftStep
40.4763574365	1.0000000000	STATUS	n/a	20238.1787182380	RightStep
41.4543574365	1.0000000000	STATUS	n/a	20727.1787182380	RightStep
41.8223574365	1.0000000000	STATUS	n/a	20911.1787182380	LeftStep
42.7620000000	1.0000000000	STATUS	n/a	21381.0000000000	standingStill
43.1766656908	1.0000000000	STATUS	n/a	21588.3328453792	Play
