onset	duration	trial_type	response_time	sample	value
0.0019745868	1.0000000000	STATUS	n/a	0.9872933764	start_experiment
3.6282887825	1.0000000000	STATUS	n/a	1814.1443912723	Play
3.9645849833	1.0000000000	STATUS	n/a	1982.2924916534	start_initiation
5.8365849833	1.0000000000	STATUS	n/a	2918.2924916534	LeftStep
6.5425849833	1.0000000000	STATUS	n/a	3271.2924916534	RightStep
7.2985849833	1.0000000000	STATUS	n/a	3649.2924916534	LeftStep
7.9765849833	1.0000000000	STATUS	n/a	3988.2924916534	RightStep
9.1880000000	1.0000000000	STATUS	n/a	4594.0000000000	standingStill
9.8086916140	1.0000000000	STATUS	n/a	4904.3458069930	Play
9.8258517110	1.0000000000	STATUS	n/a	4912.9258554837	initiation
13.0244366943	1.0000000000	STATUS	n/a	6512.2183471372	initiationHeadLeft
13.0324366943	1.0000000000	STATUS	n/a	6516.2183471372	initiationLeft
14.1765849833	1.0000000000	STATUS	n/a	7088.2924916534	RightStep
14.9365849833	1.0000000000	STATUS	n/a	7468.2924916534	LeftStep
15.6145849833	1.0000000000	STATUS	n/a	7807.2924916534	RightStep
16.0145849833	1.0000000000	STATUS	n/a	8007.2924916534	LeftStep
16.9220000000	1.0000000000	STATUS	n/a	8461.0000000000	standingStill
18.4270704248	1.0000000000	STATUS	n/a	9213.5352123921	Play
18.4441734214	1.0000000000	STATUS	n/a	9222.0867107224	initiation
21.2247584048	1.0000000000	STATUS	n/a	10612.3792023759	initiationHeadLeft
21.2547584048	1.0000000000	STATUS	n/a	10627.3792023759	initiationLeft
22.4405849833	1.0000000000	STATUS	n/a	11220.2924916534	RightStep
23.1105849833	1.0000000000	STATUS	n/a	11555.2924916534	LeftStep
23.7845849833	1.0000000000	STATUS	n/a	11892.2924916534	RightStep
26.4120000000	1.0000000000	STATUS	n/a	13206.0000000000	standingStill
26.8724382577	1.0000000000	STATUS	n/a	13436.2191288432	Play
26.8896009547	1.0000000000	STATUS	n/a	13444.8004773366	initiation
30.2001859380	1.0000000000	STATUS	n/a	15100.0929689901	initiationLeft
30.2521859380	1.0000000000	STATUS	n/a	15126.0929689901	initiationHeadLeft
31.2865849833	1.0000000000	STATUS	n/a	15643.2924916534	RightStep
31.9785849833	1.0000000000	STATUS	n/a	15989.2924916534	LeftStep
32.6965849833	1.0000000000	STATUS	n/a	16348.2924916534	RightStep
33.8440000000	1.0000000000	STATUS	n/a	16922.0000000000	standingStill
34.3159519366	1.0000000000	STATUS	n/a	17157.9759683094	initiationHeadRight
35.0345369199	1.0000000000	STATUS	n/a	17517.2684599628	initiationRight
35.4003505572	1.0000000000	STATUS	n/a	17700.1752785799	Play
35.4173669533	1.0000000000	STATUS	n/a	17708.6834766559	initiation
36.2245849833	1.0000000000	STATUS	n/a	18112.2924916534	LeftStep
36.8525849833	1.0000000000	STATUS	n/a	18426.2924916534	RightStep
37.5745849833	1.0000000000	STATUS	n/a	18787.2924916534	LeftStep
38.1825849833	1.0000000000	STATUS	n/a	19091.2924916534	RightStep
39.7860000000	1.0000000000	STATUS	n/a	19893.0000000000	standingStill
41.8755111545	1.0000000000	STATUS	n/a	20937.7555772700	Play
41.8925983511	1.0000000000	STATUS	n/a	20946.2991755683	initiation
43.1051833344	1.0000000000	STATUS	n/a	21552.5916672217	initiationHeadRight
43.1071833344	1.0000000000	STATUS	n/a	21553.5916672217	initiationRight
44.2685849833	1.0000000000	STATUS	n/a	22134.2924916534	LeftStep
44.9305849833	1.0000000000	STATUS	n/a	22465.2924916534	RightStep
45.6645849833	1.0000000000	STATUS	n/a	22832.2924916534	LeftStep
47.7680000000	1.0000000000	STATUS	n/a	23884.0000000000	standingStill
48.4088553808	1.0000000000	STATUS	n/a	24204.4276903828	Play
48.4259450774	1.0000000000	STATUS	n/a	24212.9725386831	initiation
52.1745300607	1.0000000000	STATUS	n/a	26087.2650303365	initiationHeadLeft
52.3385300607	1.0000000000	STATUS	n/a	26169.2650303365	initiationLeft
53.4685849833	1.0000000000	STATUS	n/a	26734.2924916534	RightStep
54.1585849833	1.0000000000	STATUS	n/a	27079.2924916534	LeftStep
54.8845849833	1.0000000000	STATUS	n/a	27442.2924916534	RightStep
57.0920000000	1.0000000000	STATUS	n/a	28546.0000000000	standingStill
57.8120366272	1.0000000000	STATUS	n/a	28906.0183136055	Play
57.8291296238	1.0000000000	STATUS	n/a	28914.5648119131	initiation
59.6357146071	1.0000000000	STATUS	n/a	29817.8573035665	initiationHeadLeft
60.7717146071	1.0000000000	STATUS	n/a	30385.8573035665	initiationLeft
61.4645849833	1.0000000000	STATUS	n/a	30732.2924916534	RightStep
62.1465849833	1.0000000000	STATUS	n/a	31073.2924916534	LeftStep
62.8805849833	1.0000000000	STATUS	n/a	31440.2924916534	RightStep
63.8380000000	1.0000000000	STATUS	n/a	31919.0000000000	standingStill
63.8575691203	1.0000000000	STATUS	n/a	31928.7845601569	initiationHeadRight
63.8801541036	1.0000000000	STATUS	n/a	31940.0770518104	initiationRight
65.7938054399	1.0000000000	STATUS	n/a	32896.9027199621	Play
65.8109841370	1.0000000000	STATUS	n/a	32905.4920685035	initiation
65.8425849833	1.0000000000	STATUS	n/a	32921.2924916534	RightStep
66.5125849833	1.0000000000	STATUS	n/a	33256.2924916534	LeftStep
67.1605849833	1.0000000000	STATUS	n/a	33580.2924916534	RightStep
67.8305849833	1.0000000000	STATUS	n/a	33915.2924916534	LeftStep
68.5065849833	1.0000000000	STATUS	n/a	34253.2924916534	RightStep
69.9120000000	1.0000000000	STATUS	n/a	34956.0000000000	standingStill
70.6924988272	1.0000000000	STATUS	n/a	35346.2494135823	Play
70.7095929238	1.0000000000	STATUS	n/a	35354.7964618827	initiation
74.1201779071	1.0000000000	STATUS	n/a	37060.0889535361	initiationRight
74.3881779071	1.0000000000	STATUS	n/a	37194.0889535361	initiationHeadRight
75.3905849833	1.0000000000	STATUS	n/a	37695.2924916534	LeftStep
76.0385849833	1.0000000000	STATUS	n/a	38019.2924916534	RightStep
76.7625849833	1.0000000000	STATUS	n/a	38381.2924916534	LeftStep
77.4725849833	1.0000000000	STATUS	n/a	38736.2924916534	RightStep
78.6960000000	1.0000000000	STATUS	n/a	39348.0000000000	standingStill
79.3585010071	1.0000000000	STATUS	n/a	39679.2505035410	Play
79.3756064038	1.0000000000	STATUS	n/a	39687.8032018873	initiation
82.9121913871	1.0000000000	STATUS	n/a	41456.0956935407	initiationHeadRight
83.6681913871	1.0000000000	STATUS	n/a	41834.0956935407	initiationRight
84.4225849833	1.0000000000	STATUS	n/a	42211.2924916534	LeftStep
85.0645849833	1.0000000000	STATUS	n/a	42532.2924916534	RightStep
85.7605849833	1.0000000000	STATUS	n/a	42880.2924916534	LeftStep
86.4245849833	1.0000000000	STATUS	n/a	43212.2924916534	RightStep
87.5100000000	1.0000000000	STATUS	n/a	43755.0000000000	standingStill
88.4656325803	1.0000000000	STATUS	n/a	44232.8162901442	Play
88.4825754760	1.0000000000	STATUS	n/a	44241.2877380238	initiation
93.2771604594	1.0000000000	STATUS	n/a	46638.5802296773	initiationHeadRight
93.5771604594	1.0000000000	STATUS	n/a	46788.5802296773	initiationRight
94.3665849833	1.0000000000	STATUS	n/a	47183.2924916534	LeftStep
95.0325849833	1.0000000000	STATUS	n/a	47516.2924916534	RightStep
95.7465849833	1.0000000000	STATUS	n/a	47873.2924916534	LeftStep
96.3845849833	1.0000000000	STATUS	n/a	48192.2924916534	RightStep
97.3380000000	1.0000000000	STATUS	n/a	48669.0000000000	standingStill
97.3824897751	1.0000000000	STATUS	n/a	48691.2448875571	initiationHeadRight
